Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729575311426,3228,3228,3228,3228,3228,3228,3228,3228,66.34539031982422,64.19124603271484,65.18434143066406,66.84101867675781,67.16598510742188,65.04366302490234,64.70094299316406,65.50016784667969,66.81195831298828,66.0802993774414,50,0,33.333335876464844,0,0,0,0,0,5.009492874145508,17179869184,22548578304,4891590656,21248278528
306,1729575311426,3228,3228,3228,3228,3228,3228,3228,3228,66.34539031982422,64.19124603271484,65.18434143066406,66.84101867675781,67.16598510742188,65.04366302490234,64.70094299316406,65.50016784667969,66.81195831298828,66.0802993774414,0,0,0,50,0,0,0,0,5.009492874145508,17179869184,22548578304,4891590656,21248278528
8,1729575311733,3228,3228,3228,3228,3228,3228,3228,3228,66.34539031982422,64.19124603271484,65.18434143066406,66.84101867675781,67.16598510742188,65.04366302490234,64.70094299316406,65.50016784667969,66.81195831298828,66.0802993774414,13.333333969116211,16.129032135009766,33.333335876464844,43.33333206176758,16.129032135009766,6.6666669845581055,0,0,5.009492874145508,17179869184,22548578304,4891590656,21248278528
