Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729537243870,3228,3228,3228,3228,3228,3228,3228,3228,63.824005126953125,60.161956787109375,63.843711853027344,64.73401641845703,64.75243377685547,62.10697937011719,62.67006301879883,62.45698547363281,63.566322326660156,62.95570373535156,100,50,0,0,0,0,0,0,14.952917098999023,17179869184,20401094656,5237833728,19915210752
306,1729537243871,3228,3228,3228,3228,3228,3228,3228,3228,63.824005126953125,60.161956787109375,63.843711853027344,64.73401641845703,64.75243377685547,62.10697937011719,62.67006301879883,62.45698547363281,63.566322326660156,62.95570373535156,0,50,0,0,0,0,0,0,14.952917098999023,17179869184,20401094656,5237833728,19915210752
309,1729537244177,3228,3228,3228,3228,3228,3228,3228,3228,62.25883483886719,59.036251068115234,61.93903350830078,62.12796401977539,62.57525634765625,60.2469482421875,61.01492691040039,60.904441833496094,63.03545379638672,61.863983154296875,83.33332824707031,73.33333587646484,90.32257843017578,96.7741928100586,90,87.09677124023438,90.32257843017578,87.09677124023438,14.952917098999023,17179869184,20401094656,5237833728,19915210752
12,1729537244487,3228,3228,3228,3228,3228,3228,3228,3228,62.25883483886719,59.036251068115234,61.93903350830078,62.12796401977539,62.57525634765625,60.2469482421875,61.01492691040039,60.904441833496094,63.03545379638672,61.863983154296875,19.35483741760254,13.333333969116211,40.625,61.29032516479492,22.580644607543945,6.45161247253418,0,3.22580623626709,5.542510032653809,17179869184,20401094656,5251301376,19915210752
