Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729542762687,3228,3228,3228,3228,3228,3228,3228,3228,63.21778869628906,61.746177673339844,62.1055908203125,63.47446823120117,63.35582733154297,62.54095458984375,62.32847213745117,62.70967483520508,64.99711608886719,64.0234603881836,50,0,0,0,0,0,0,0,8.12712574005127,17179869184,21474836480,4376657920,20369506304
309,1729542762687,3228,3228,3228,3228,3228,3228,3228,3228,63.21778869628906,61.746177673339844,62.1055908203125,63.47446823120117,63.35582733154297,62.54095458984375,62.32847213745117,62.70967483520508,64.99711608886719,64.0234603881836,0,0,100,100,0,0,0,0,8.12712574005127,17179869184,21474836480,4379312128,20369506304
309,1729542762997,3228,3228,3228,3228,3228,3228,3228,3228,63.21778869628906,61.746177673339844,62.1055908203125,63.47446823120117,63.35582733154297,62.54095458984375,62.32847213745117,62.70967483520508,64.99711608886719,64.0234603881836,76.66666412353516,67.74193572998047,93.54838562011719,90.32257843017578,93.33333587646484,90.32257843017578,84.375,90.32257843017578,8.12712574005127,17179869184,21474836480,4379312128,20369506304
309,1729542763307,3228,3228,3228,3228,3228,3228,3228,3228,64.72904205322266,62.86225128173828,65.91265869140625,67.41199493408203,66.04287719726563,64.00776672363281,65.36848449707031,65.4171142578125,66.5180892944336,64.9561996459961,6.45161247253418,3.3333334922790527,20,61.29032516479492,25.80644989013672,16.129032135009766,9.67741870880127,0,8.12712574005127,17179869184,21474836480,4493312000,20369506304
308,1729542763617,3228,3228,3228,3228,3228,3228,3228,3228,64.72904205322266,62.86225128173828,65.91265869140625,67.41199493408203,66.04287719726563,64.00776672363281,65.36848449707031,65.4171142578125,66.5180892944336,64.9561996459961,16.129032135009766,18.75,18.75,67.74193572998047,35.48387145996094,9.67741870880127,3.22580623626709,0,6.4009575843811035,17179869184,21474836480,4614258688,20369506304
307,1729542763925,3228,3228,3228,3228,3228,3228,3228,3228,64.72904205322266,62.86225128173828,65.91265869140625,67.41199493408203,66.04287719726563,64.00776672363281,65.36848449707031,65.4171142578125,66.5180892944336,64.9561996459961,19.35483741760254,16.666667938232422,93.33333587646484,87.5,32.25806427001953,25.80644989013672,9.67741870880127,3.3333334922790527,6.4009575843811035,17179869184,21474836480,4742135808,20369506304
310,1729542764233,3228,3228,3228,3228,3228,3228,3228,3228,68.21305084228516,63.79404067993164,72.62516784667969,75.298828125,69.67597198486328,66.56901550292969,67.02156829833984,67.39292907714844,67.07733917236328,66.14681243896484,20,16.129032135009766,45.16128921508789,65.51724243164063,45.16128921508789,16.666667938232422,22.580644607543945,18.75,6.4009575843811035,17179869184,21474836480,4812914688,20369506304
309,1729542764544,3228,3228,3228,3228,3228,3228,3228,3228,68.21305084228516,63.79404067993164,72.62516784667969,75.298828125,69.67597198486328,66.56901550292969,67.02156829833984,67.39292907714844,67.07733917236328,66.14681243896484,66.66667175292969,64.51612854003906,77.41934967041016,93.54838562011719,77.41934967041016,64.51612854003906,54.83871078491211,53.333335876464844,15.863272666931152,17179869184,21474836480,5162680320,20369506304
301,1729542764856,3228,3228,3228,3228,3228,3228,3228,3228,68.21305084228516,63.79404067993164,72.62516784667969,75.298828125,69.67597198486328,66.56901550292969,67.02156829833984,67.39292907714844,67.07733917236328,66.14681243896484,96.875,100,100,100,100,100,100,100,15.863272666931152,17179869184,21474836480,5392334848,20369506304
308,1729542765157,3228,3228,3228,3228,3228,3228,3228,3228,71.41752624511719,69.81877899169922,77.32855224609375,80.73673248291016,75.05010223388672,70.5927734375,77.05546569824219,77.82856750488281,75.81671142578125,71.39469909667969,100,100,100,100,100,100,100,100,15.863272666931152,17179869184,21474836480,5599494144,20369506304
308,1729542765467,3228,3228,3228,3228,3228,3228,3228,3228,71.41752624511719,69.81877899169922,77.32855224609375,80.73673248291016,75.05010223388672,70.5927734375,77.05546569824219,77.82856750488281,75.81671142578125,71.39469909667969,43.33333206176758,43.33333206176758,51.61289978027344,76.66666412353516,36.66666793823242,45.16128921508789,41.935482025146484,36.66666793823242,15.863272666931152,17179869184,21474836480,5691686912,20369506304
309,1729542765775,3228,3228,3228,3228,3228,3228,3228,3228,71.41752624511719,69.81877899169922,77.32855224609375,80.73673248291016,75.05010223388672,70.5927734375,77.05546569824219,77.82856750488281,75.81671142578125,71.39469909667969,93.54838562011719,96.7741928100586,100,96.875,100,100,100,100,22.091636657714844,17179869184,21474836480,7455899648,20369506304
308,1729542766085,3228,3228,3228,3228,3228,3228,3228,3228,72.11882019042969,71.9130630493164,77.56159973144531,81.03167724609375,75.42036437988281,71.56228637695313,79.19964599609375,79.66877746582031,77.99578857421875,73.15968322753906,96.7741928100586,93.75,100,100,100,100,100,100,22.091636657714844,17179869184,21474836480,7980253184,20369506304
