Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729587230126,3228,3228,3228,3228,3228,3228,3228,3228,65.52508544921875,62.7524528503418,65.15276336669922,66.6991195678711,65.86341857910156,63.78898620605469,63.6642951965332,64.97447204589844,65.78812408447266,64.93663787841797,50,0,100,100,0,NaN,NaN,0,14.524669647216797,17179869184,22548578304,4081762304,21094400000
307,1729587230126,3228,3228,3228,3228,3228,3228,3228,3228,65.52508544921875,62.7524528503418,65.15276336669922,66.6991195678711,65.86341857910156,63.78898620605469,63.6642951965332,64.97447204589844,65.78812408447266,64.93663787841797,100,NaN,0,NaN,100,100,0,NaN,14.524669647216797,17179869184,22548578304,4084662272,21094400000
309,1729587230434,3228,3228,3228,3228,3228,3228,3228,3228,65.52508544921875,62.7524528503418,65.15276336669922,66.6991195678711,65.86341857910156,63.78898620605469,63.6642951965332,64.97447204589844,65.78812408447266,64.93663787841797,58.620689392089844,56.66666793823242,93.54838562011719,96.875,96.66666412353516,86.66666412353516,76.66666412353516,67.74193572998047,14.524669647216797,17179869184,22548578304,4084662272,21094400000
306,1729587230744,3228,3228,3228,3228,3228,3228,3228,3228,65.52508544921875,62.7524528503418,65.15276336669922,66.6991195678711,65.86341857910156,63.78898620605469,63.6642951965332,64.97447204589844,65.78812408447266,64.93663787841797,62.5,61.29032516479492,100,93.54838562011719,96.7741928100586,90.625,83.87096405029297,80,4.731781005859375,17179869184,22548578304,4176216064,21094400000
301,1729587231050,3228,3228,3228,3228,3228,3228,3228,3228,65.52508544921875,62.7524528503418,65.15276336669922,66.6991195678711,65.86341857910156,63.78898620605469,63.6642951965332,64.97447204589844,65.78812408447266,64.93663787841797,31.034481048583984,22.580644607543945,93.54838562011719,80,90,77.41934967041016,80.6451644897461,58.06451416015625,4.731781005859375,17179869184,22548578304,4178165760,21094400000
9,1729587231352,3228,3228,3228,3228,3228,3228,3228,3228,73.39160919189453,70.37308502197266,78.73762512207031,81.1361083984375,76.87970733642578,71.52896881103516,78.0789794921875,79.25508117675781,75.29566955566406,71.6403579711914,51.61289978027344,50,96.55171966552734,93.33333587646484,90,86.20689392089844,80,70.96774291992188,4.731781005859375,17179869184,22548578304,4128964608,21094400000
