Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729549947055,3228,3228,3228,3228,3228,3228,3228,3228,59.24372863769531,56.48226547241211,57.63689422607422,58.79011154174805,59.331520080566406,57.85832595825195,57.54323196411133,57.96469497680664,59.46001052856445,59.50633239746094,100,50,0,0,0,0,0,0,4.62448787689209,17179869184,21474836480,6008209408,20766916608
309,1729549947056,3228,3228,3228,3228,3228,3228,3228,3228,59.24372863769531,56.48226547241211,57.63689422607422,58.79011154174805,59.331520080566406,57.85832595825195,57.54323196411133,57.96469497680664,59.46001052856445,59.50633239746094,0,50,100,50,0,0,50,0,4.62448787689209,17179869184,21474836480,6008209408,20766916608
309,1729549947366,3228,3228,3228,3228,3228,3228,3228,3228,59.85820770263672,57.151161193847656,59.435455322265625,60.367000579833984,60.296348571777344,57.9740104675293,59.35346603393555,59.275760650634766,60.41504669189453,59.802452087402344,93.33333587646484,90,100,93.54838562011719,93.33333587646484,93.33333587646484,87.09677124023438,87.5,4.62448787689209,17179869184,21474836480,6008209408,20766916608
9,1729549947676,3228,3228,3228,3228,3228,3228,3228,3228,59.85820770263672,57.151161193847656,59.435455322265625,60.367000579833984,60.296348571777344,57.9740104675293,59.35346603393555,59.275760650634766,60.41504669189453,59.802452087402344,9.375,9.67741870880127,51.61289978027344,21.875,19.35483741760254,29.032257080078125,6.45161247253418,3.22580623626709,4.62448787689209,17179869184,21474836480,6037127168,20766916608
