Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729595404256,3228,3228,3228,3228,3228,3228,3228,3228,63.62736511230469,60.46028137207031,61.80107879638672,62.96015930175781,63.332374572753906,61.31881332397461,60.90520095825195,62.7862663269043,63.81984329223633,62.80262756347656,NaN,NaN,100,100,NaN,100,NaN,0,10.517781257629395,17179869184,22548578304,6115229696,20968570880
309,1729595404256,3228,3228,3228,3228,3228,3228,3228,3228,63.62736511230469,60.46028137207031,61.80107879638672,62.96015930175781,63.332374572753906,61.31881332397461,60.90520095825195,62.7862663269043,63.81984329223633,62.80262756347656,NaN,0,0,NaN,100,NaN,NaN,100,10.517781257629395,17179869184,22548578304,6115229696,20968570880
309,1729595404566,3228,3228,3228,3228,3228,3228,3228,3228,69.6756362915039,64.15238952636719,73.30120849609375,75.11163330078125,72.54973602294922,66.75794219970703,69.72721862792969,69.58354187011719,66.59922790527344,65.21028137207031,96.7741928100586,96.7741928100586,100,100,100,96.96969604492188,100,96.7741928100586,10.517781257629395,17179869184,22548578304,6115229696,20968570880
309,1729595404876,3228,3228,3228,3228,3228,3228,3228,3228,69.6756362915039,64.15238952636719,73.30120849609375,75.11163330078125,72.54973602294922,66.75794219970703,69.72721862792969,69.58354187011719,66.59922790527344,65.21028137207031,90.32257843017578,87.09677124023438,100,96.7741928100586,100,100,100,90.32257843017578,13.458396911621094,17179869184,22548578304,8305721344,20968570880
303,1729595405186,3228,3228,3228,3228,3228,3228,3228,3228,69.6756362915039,64.15238952636719,73.30120849609375,75.11163330078125,72.54973602294922,66.75794219970703,69.72721862792969,69.58354187011719,66.59922790527344,65.21028137207031,32.25806427001953,30.000001907348633,86.66666412353516,80,87.09677124023438,74.19355010986328,53.125,61.29032516479492,13.458396911621094,17179869184,22548578304,8725708800,20968570880
309,1729595405490,3228,3228,3228,3228,3228,3228,3228,3228,72.19416046142578,69.60601043701172,77.56407928466797,80.02508544921875,75.94400787353516,69.82438659667969,76.80924987792969,79.01885986328125,75.75504302978516,70.98636627197266,40,41.935482025146484,87.09677124023438,93.54838562011719,90.32257843017578,83.87096405029297,82.75862121582031,73.33333587646484,13.458396911621094,17179869184,22548578304,9750233088,20968570880
309,1729595405799,3228,3228,3228,3228,3228,3228,3228,3228,72.19416046142578,69.60601043701172,77.56407928466797,80.02508544921875,75.94400787353516,69.82438659667969,76.80924987792969,79.01885986328125,75.75504302978516,70.98636627197266,53.333335876464844,50,93.54838562011719,83.33332824707031,86.66666412353516,83.33332824707031,75,67.74193572998047,26.713642120361328,17179869184,22548578304,9750233088,20968570880
300,1729595406109,3228,3228,3228,3228,3228,3228,3228,3228,72.19416046142578,69.60601043701172,77.56407928466797,80.02508544921875,75.94400787353516,69.82438659667969,76.80924987792969,79.01885986328125,75.75504302978516,70.98636627197266,38.70967483520508,43.75,96.7741928100586,96.7741928100586,96.7741928100586,96.7741928100586,80,50,26.713642120361328,17179869184,22548578304,11259691008,20968570880
306,1729595406410,3228,3228,3228,3228,3228,3228,3228,3228,72.41211700439453,69.69637298583984,76.39532470703125,78.84774017333984,74.92544555664063,69.9086685180664,75.93379211425781,77.925537109375,74.71749114990234,70.8829574584961,56.66666793823242,53.57142639160156,76.66666412353516,70,63.33333206176758,68.96551513671875,53.333335876464844,33.333335876464844,26.713642120361328,17179869184,22548578304,9728622592,20968570880
308,1729595406716,3228,3228,3228,3228,3228,3228,3228,3228,72.41211700439453,69.69637298583984,76.39532470703125,78.84774017333984,74.92544555664063,69.9086685180664,75.93379211425781,77.925537109375,74.71749114990234,70.8829574584961,36.66666793823242,38.70967483520508,93.10344696044922,86.20689392089844,83.33332824707031,87.09677124023438,76.66666412353516,48.3870964050293,26.713642120361328,17179869184,22548578304,9843376128,20968570880
