Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729576973156,3228,3228,3228,3228,3228,3228,3228,3228,60.11265563964844,56.287635803222656,59.94281768798828,61.07191848754883,60.39826965332031,58.19285583496094,58.41875076293945,59.08897018432617,59.297706604003906,59.48323059082031,NaN,0,50,0,0,0,0,0,22.581220626831055,17179869184,22548578304,6046466048,21248278528
306,1729576973157,3228,3228,3228,3228,3228,3228,3228,3228,60.11265563964844,56.287635803222656,59.94281768798828,61.07191848754883,60.39826965332031,58.19285583496094,58.41875076293945,59.08897018432617,59.297706604003906,59.48323059082031,50,0,50,100,0,50,0,0,22.581220626831055,17179869184,22548578304,6049677312,21248278528
309,1729576973464,3228,3228,3228,3228,3228,3228,3228,3228,60.11265563964844,56.287635803222656,59.94281768798828,61.07191848754883,60.39826965332031,58.19285583496094,58.41875076293945,59.08897018432617,59.297706604003906,59.48323059082031,68.96551513671875,70.96774291992188,80,77.41934967041016,78.125,76.66666412353516,73.33333587646484,74.19355010986328,15.785262107849121,17179869184,22548578304,8564883456,21248278528
10,1729576973774,3228,3228,3228,3228,3228,3228,3228,3228,60.11265563964844,56.287635803222656,59.94281768798828,61.07191848754883,60.39826965332031,58.19285583496094,58.41875076293945,59.08897018432617,59.297706604003906,59.48323059082031,19.35483741760254,18.75,29.032257080078125,19.35483741760254,10,9.375,0,0,15.785262107849121,17179869184,22548578304,6051364864,21248278528
