__run_id,__done,DFO,Library,DataFrame size,execution_time,num_dfos_per_joule,cpu_utilisation,memory_usage
run_37_repetition_17,DONE,mean,Pandas,Small,0.627,5.46,77.0,4500729856.0
run_13_repetition_16,DONE,replace,Pandas,Small,0.945,3.995,73.8,4801462272.0
run_36_repetition_12,DONE,mean,Pandas,Large,2.483,0.722,76.9,6852870144.0
run_65_repetition_17,DONE,concat,Modin,Small,5.561,0.356,76.3,5753964134.4
run_15_repetition_1,DONE,replace,Polars,Small,0.327,9.892,78.6,5529354240.0
run_59_repetition_1,DONE,fillna,Dask,Small,1.248,1.138,83.2,5662217557.333
run_31_repetition_3,DONE,sort,Polars,Small,0.332,4.607,85.1,5835374592.0
run_53_repetition_4,DONE,dropna,Pandas,Small,0.946,8.168,70.7,3852982681.6
run_56_repetition_0,DONE,fillna,Modin,Large,47.871,0.035,72.2,9532226858.127
run_53_repetition_19,DONE,dropna,Pandas,Small,0.95,1.595,62.3,4418446950.4
run_8_repetition_16,DONE,replace,Modin,Large,39.596,0.04,79.1,9696064082.076
run_52_repetition_3,DONE,dropna,Pandas,Large,45.704,0.043,72.7,8547790902.613
run_15_repetition_6,DONE,replace,Polars,Small,0.333,8.016,74.5,5160304640.0
run_48_repetition_7,DONE,dropna,Modin,Large,17.528,0.077,71.2,8696916558.102
run_71_repetition_2,DONE,concat,Polars,Small,0.328,23.754,79.4,3847203498.667
run_41_repetition_16,DONE,drop,Modin,Small,6.169,0.267,76.8,4574710690.909
run_44_repetition_7,DONE,drop,Pandas,Large,36.119,0.057,76.9,8922359067.966
run_67_repetition_8,DONE,concat,Dask,Small,1.26,5.72,77.0,4692585130.667
run_11_repetition_4,DONE,replace,Dask,Small,1.253,5.904,73.9,5039909546.667
run_2_repetition_19,DONE,isna,Dask,Large,1.245,5.599,73.6,5240711850.667
run_61_repetition_4,DONE,fillna,Pandas,Small,0.938,8.124,78.5,5418336256.0
run_9_repetition_19,DONE,replace,Modin,Small,6.45,0.222,79.7,6207111880.348
run_33_repetition_7,DONE,mean,Modin,Small,6.79,0.261,77.8,6337122304.0
run_60_repetition_10,DONE,fillna,Pandas,Large,445.216,0.004,73.1,9746166178.652
run_31_repetition_19,DONE,sort,Polars,Small,0.329,22.818,64.1,4942899882.667
run_13_repetition_8,DONE,replace,Pandas,Small,0.937,5.454,60.3,5597259366.4
run_18_repetition_12,DONE,groupby,Dask,Large,1.252,4.01,72.3,6198744405.333
run_59_repetition_13,DONE,fillna,Dask,Small,1.241,1.652,83.5,6434354517.333
run_60_repetition_0,DONE,fillna,Pandas,Large,447.496,0.004,72.3,9806815850.901
run_67_repetition_18,DONE,concat,Dask,Small,1.564,2.86,71.5,5114719670.857
run_39_repetition_19,DONE,mean,Polars,Small,0.327,23.45,63.0,5278220288.0
run_33_repetition_8,DONE,mean,Modin,Small,6.792,0.234,74.8,6065764352.0
run_57_repetition_2,DONE,fillna,Modin,Small,6.137,0.284,76.2,6246872157.091
run_49_repetition_2,DONE,dropna,Modin,Small,6.174,0.216,71.6,4339326976.0
run_14_repetition_18,DONE,replace,Polars,Large,8.037,0.164,71.9,6315309348.571
run_49_repetition_7,DONE,dropna,Modin,Small,6.172,0.243,76.5,4997070103.273
run_36_repetition_8,DONE,mean,Pandas,Large,2.172,1.201,80.9,6357434368.0
run_16_repetition_12,DONE,groupby,Modin,Large,15.998,0.08,56.4,8423521090.37
run_6_repetition_19,DONE,isna,Polars,Large,1.58,2.116,77.2,5762416640.0
run_15_repetition_17,DONE,replace,Polars,Small,0.329,11.876,76.4,5093408768.0
run_62_repetition_14,DONE,fillna,Polars,Large,66.59,0.017,76.2,8644875806.673
run_37_repetition_9,DONE,mean,Pandas,Small,0.929,7.705,73.6,5677508198.4
run_18_repetition_3,DONE,groupby,Dask,Large,1.257,2.864,79.4,4174629546.667
run_49_repetition_17,DONE,dropna,Modin,Small,6.486,0.258,73.3,4808071435.13
run_52_repetition_17,DONE,dropna,Pandas,Large,45.683,0.04,74.6,8089360029.013
run_60_repetition_14,DONE,fillna,Pandas,Large,460.16,0.004,77.2,10019308559.733
run_23_repetition_5,DONE,groupby,Polars,Small,0.328,4.963,69.1,3984599722.667
run_30_repetition_2,DONE,sort,Polars,Large,41.064,0.033,74.0,8316297033.956
run_32_repetition_16,DONE,mean,Modin,Large,18.421,0.071,62.2,8718615056.516
run_34_repetition_16,DONE,mean,Dask,Large,1.865,3.631,73.1,4948150272.0
run_32_repetition_14,DONE,mean,Modin,Large,14.156,0.091,71.7,8661220352.0
run_48_repetition_10,DONE,dropna,Modin,Large,21.462,0.06,67.4,9658948721.778
run_66_repetition_7,DONE,concat,Dask,Large,1.549,1.187,82.3,5830318957.714
run_16_repetition_4,DONE,groupby,Modin,Large,1427.637,0.001,73.7,8859283765.929
run_57_repetition_14,DONE,fillna,Modin,Small,6.477,0.223,61.7,4973300513.391
run_25_repetition_15,DONE,sort,Modin,Small,7.071,0.189,77.1,5316056186.88
run_40_repetition_5,DONE,drop,Modin,Large,15.365,0.093,75.4,8625624300.308
run_45_repetition_19,DONE,drop,Pandas,Small,0.954,2.274,81.5,5286857932.8
run_17_repetition_12,DONE,groupby,Modin,Small,5.871,0.323,77.1,5994694168.381
run_42_repetition_8,DONE,drop,Dask,Large,1.253,1.165,74.6,5742411776.0
run_71_repetition_13,DONE,concat,Polars,Small,0.331,8.535,79.2,5904422229.333
run_20_repetition_14,DONE,groupby,Pandas,Large,2.18,0.797,64.7,5489648526.222
run_53_repetition_12,DONE,dropna,Pandas,Small,0.634,2.538,78.1,4391165952.0
run_62_repetition_10,DONE,fillna,Polars,Large,66.31,0.017,76.3,7888973217.185
run_48_repetition_4,DONE,dropna,Modin,Large,27.324,0.044,73.7,9644230408.44
run_59_repetition_19,DONE,fillna,Dask,Small,1.559,1.0,80.5,5388252891.429
run_18_repetition_19,DONE,groupby,Dask,Large,1.23,1.873,76.8,5607579648.0
run_11_repetition_7,DONE,replace,Dask,Small,1.253,3.87,81.2,5893649749.333
run_2_repetition_18,DONE,isna,Dask,Large,1.254,1.48,82.0,6037266432.0
run_23_repetition_12,DONE,groupby,Polars,Small,0.327,21.551,82.4,6474716501.333
run_6_repetition_8,DONE,isna,Polars,Large,1.573,0.9,54.6,5360596699.429
run_44_repetition_16,DONE,drop,Pandas,Large,36.126,0.056,80.1,9498082088.874
run_47_repetition_10,DONE,drop,Polars,Small,0.329,22.424,70.0,5087384917.333
run_61_repetition_3,DONE,fillna,Pandas,Small,0.947,1.925,78.5,5481450700.8
run_5_repetition_7,DONE,isna,Pandas,Small,0.639,3.065,77.4,5759655936.0
run_38_repetition_6,DONE,mean,Polars,Large,0.639,3.79,78.4,6568267776.0
run_59_repetition_14,DONE,fillna,Dask,Small,1.244,1.354,73.2,6099290794.667
run_67_repetition_6,DONE,concat,Dask,Small,1.253,6.12,74.7,6272974848.0
run_64_repetition_4,DONE,concat,Modin,Large,536.916,0.004,75.1,9057464423.103
run_46_repetition_13,DONE,drop,Polars,Large,0.632,4.198,76.4,6034853888.0
run_52_repetition_10,DONE,dropna,Pandas,Large,45.545,0.039,78.9,8057360875.52
run_56_repetition_19,DONE,fillna,Modin,Large,30.681,0.049,81.8,9238586789.647
run_30_repetition_5,DONE,sort,Polars,Large,42.615,0.031,75.6,8419657318.4
run_39_repetition_14,DONE,mean,Polars,Small,0.326,23.674,74.2,4884791296.0
run_37_repetition_10,DONE,mean,Pandas,Small,0.942,7.845,76.7,5093955993.6
run_13_repetition_5,DONE,replace,Pandas,Small,0.948,7.852,76.1,5302504652.8
run_58_repetition_16,DONE,fillna,Dask,Large,1.239,6.084,85.0,5553332224.0
run_15_repetition_19,DONE,replace,Polars,Small,0.331,22.005,75.1,5625020416.0
run_49_repetition_11,DONE,dropna,Modin,Small,6.148,0.269,78.1,6249330501.818
run_33_repetition_18,DONE,mean,Modin,Small,6.48,0.252,72.0,4526000217.043
run_46_repetition_7,DONE,drop,Polars,Large,0.634,2.608,79.1,4619423744.0
run_22_repetition_10,DONE,groupby,Polars,Large,0.635,3.085,77.1,5180624896.0
run_28_repetition_16,DONE,sort,Pandas,Large,74.574,0.024,78.7,9177290114.098
run_56_repetition_5,DONE,fillna,Modin,Large,31.608,0.051,73.8,10225570533.181
run_48_repetition_8,DONE,dropna,Modin,Large,23.903,0.045,73.6,10005292441.6
run_66_repetition_19,DONE,concat,Dask,Large,1.557,0.882,78.5,3725995446.857
run_28_repetition_7,DONE,sort,Pandas,Large,73.782,0.025,75.8,8864963962.158
run_5_repetition_11,DONE,isna,Pandas,Small,0.628,11.687,73.5,4708511744.0
run_60_repetition_8,DONE,fillna,Pandas,Large,460.319,0.004,77.0,10076106724.657
run_43_repetition_13,DONE,drop,Dask,Small,1.243,3.103,70.8,3830131370.667
run_54_repetition_8,DONE,dropna,Polars,Large,0.95,2.267,75.3,4677523865.6
run_44_repetition_13,DONE,drop,Pandas,Large,36.44,0.05,57.3,9117843456.0
run_36_repetition_2,DONE,mean,Pandas,Large,2.482,0.546,59.2,6550903193.6
run_35_repetition_17,DONE,mean,Dask,Small,1.559,1.496,74.4,5216319195.429
run_54_repetition_13,DONE,dropna,Polars,Large,0.638,11.056,61.3,5590073344.0
run_53_repetition_14,DONE,dropna,Pandas,Small,0.64,7.944,78.6,5812416512.0
run_37_repetition_18,DONE,mean,Pandas,Small,0.633,11.481,78.2,5878112256.0
run_10_repetition_2,DONE,replace,Dask,Large,1.25,5.646,78.1,6076768256.0
run_62_repetition_0,DONE,fillna,Polars,Large,66.239,0.017,77.8,7705322685.63
run_29_repetition_10,DONE,sort,Pandas,Small,0.637,11.037,76.4,4733992960.0
run_20_repetition_8,DONE,groupby,Pandas,Large,2.483,1.665,74.3,6712246272.0
run_71_repetition_15,DONE,concat,Polars,Small,0.33,24.057,80.8,5065626965.333
run_65_repetition_4,DONE,concat,Modin,Small,6.161,0.252,82.0,5704140241.455
run_2_repetition_12,DONE,isna,Dask,Large,1.255,5.799,72.4,5513857706.667
run_1_repetition_1,DONE,isna,Modin,Small,6.174,0.275,74.5,6256292957.091
run_27_repetition_6,DONE,sort,Dask,Small,1.26,1.7,71.1,5831770112.0
