Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729566145012,3228,3228,3228,3228,3228,3228,3228,3228,66.97541809082031,63.245323181152344,70.93812561035156,71.74723052978516,67.94813537597656,65.01618957519531,65.37136840820313,65.95329284667969,65.60031127929688,65.07112884521484,50,50,50,0,0,0,0,0,28.770654678344727,17179869184,22548578304,4991549440,21248278528
307,1729566145012,3228,3228,3228,3228,3228,3228,3228,3228,66.97541809082031,63.245323181152344,70.93812561035156,71.74723052978516,67.94813537597656,65.01618957519531,65.37136840820313,65.95329284667969,65.60031127929688,65.07112884521484,0,0,NaN,50,0,0,NaN,0,28.770654678344727,17179869184,22548578304,4991549440,21248278528
309,1729566145320,3228,3228,3228,3228,3228,3228,3228,3228,66.97541809082031,63.245323181152344,70.93812561035156,71.74723052978516,67.94813537597656,65.01618957519531,65.37136840820313,65.95329284667969,65.60031127929688,65.07112884521484,32.25806427001953,23.33333396911621,58.06451416015625,77.41934967041016,53.333335876464844,50,48.3870964050293,45.16128921508789,23.080196380615234,17179869184,22548578304,4991549440,21248278528
309,1729566145630,3228,3228,3228,3228,3228,3228,3228,3228,66.46881866455078,64.58368682861328,68.53411865234375,71.08638763427734,68.39443969726563,65.26326751708984,67.9608383178711,68.74308776855469,67.97555541992188,66.47003936767578,16.666667938232422,15.625,58.06451416015625,46.66666793823242,45.16128921508789,51.61289978027344,38.70967483520508,33.333335876464844,23.080196380615234,17179869184,22548578304,7357775872,21248278528
309,1729566145940,3228,3228,3228,3228,3228,3228,3228,3228,66.46881866455078,64.58368682861328,68.53411865234375,71.08638763427734,68.39443969726563,65.26326751708984,67.9608383178711,68.74308776855469,67.97555541992188,66.47003936767578,22.580644607543945,13.333333969116211,58.06451416015625,25.80644989013672,16.129032135009766,12.90322494506836,6.45161247253418,0,23.080196380615234,17179869184,22548578304,8703918080,21248278528
308,1729566146250,3228,3228,3228,3228,3228,3228,3228,3228,66.46881866455078,64.58368682861328,68.53411865234375,71.08638763427734,68.39443969726563,65.26326751708984,67.9608383178711,68.74308776855469,67.97555541992188,66.47003936767578,48.3870964050293,50,70,67.74193572998047,51.61289978027344,45.16128921508789,35.48387145996094,35.48387145996094,12.634831428527832,17179869184,22548578304,9879666688,21248278528
308,1729566146559,3228,3228,3228,3228,3228,3228,3228,3228,66.46881866455078,64.58368682861328,68.53411865234375,71.08638763427734,68.39443969726563,65.26326751708984,67.9608383178711,68.74308776855469,67.97555541992188,66.47003936767578,93.54838562011719,93.33333587646484,96.875,96.7741928100586,93.54838562011719,96.7741928100586,96.7741928100586,93.75,12.634831428527832,17179869184,22548578304,9555394560,21248278528
302,1729566146868,3228,3228,3228,3228,3228,3228,3228,3228,67.66542053222656,65.52336883544922,70.00164031982422,72.1312026977539,69.0017318725586,65.72687530517578,69.02470397949219,69.20524597167969,68.2797622680664,67.01350402832031,86.66666412353516,83.33332824707031,67.74193572998047,56.66666793823242,50,66.66667175292969,51.61289978027344,40,12.634831428527832,17179869184,22548578304,9885859840,21248278528
309,1729566147170,3228,3228,3228,3228,3228,3228,3228,3228,67.66542053222656,65.52336883544922,70.00164031982422,72.1312026977539,69.0017318725586,65.72687530517578,69.02470397949219,69.20524597167969,68.2797622680664,67.01350402832031,10,9.67741870880127,55.17241287231445,22.580644607543945,16.666667938232422,6.6666669845581055,6.6666669845581055,0,20.222089767456055,17179869184,22548578304,6894501888,21248278528
309,1729566147480,3228,3228,3228,3228,3228,3228,3228,3228,67.66542053222656,65.52336883544922,70.00164031982422,72.1312026977539,69.0017318725586,65.72687530517578,69.02470397949219,69.20524597167969,68.2797622680664,67.01350402832031,3.3333334922790527,3.3333334922790527,61.29032516479492,22.580644607543945,0,22.580644607543945,3.22580623626709,0,20.222089767456055,17179869184,22548578304,7624310784,21248278528
