Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729572952461,3228,3228,3228,3228,3228,3228,3228,3228,58.80718231201172,55.853816986083984,58.771156311035156,60.149330139160156,59.291893005371094,56.840576171875,56.61207962036133,57.01554870605469,58.136226654052734,57.81378936767578,0,0,100,100,100,100,0,50,4.869321823120117,17179869184,22548578304,5175640064,21248278528
309,1729572952461,3228,3228,3228,3228,3228,3228,3228,3228,58.80718231201172,55.853816986083984,58.771156311035156,60.149330139160156,59.291893005371094,56.840576171875,56.61207962036133,57.01554870605469,58.136226654052734,57.81378936767578,0,0,100,100,0,100,100,0,4.869321823120117,17179869184,22548578304,5180702720,21248278528
5,1729572952771,3228,3228,3228,3228,3228,3228,3228,3228,58.80718231201172,55.853816986083984,58.771156311035156,60.149330139160156,59.291893005371094,56.840576171875,56.61207962036133,57.01554870605469,58.136226654052734,57.81378936767578,20,19.35483741760254,77.41934967041016,74.19355010986328,75,64.51612854003906,75,58.06451416015625,4.869321823120117,17179869184,22548578304,5180702720,21248278528
