__run_id,__done,DFO,Library,DataFrame size,execution_time,num_dfos_per_joule,cpu_utilisation,memory_usage
run_2_repetition_6,TODO,isna,Dask,Large, , , , 
run_57_repetition_1,TODO,fillna,Modin,Small, , , , 
run_23_repetition_19,TODO,groupby,Polars,Small, , , , 
run_10_repetition_9,TODO,replace,Dask,Large, , , , 
run_12_repetition_1,TODO,replace,Pandas,Large, , , , 
run_14_repetition_1,TODO,replace,Polars,Large, , , , 
run_69_repetition_17,TODO,concat,Pandas,Small, , , , 
run_48_repetition_4,TODO,dropna,Modin,Large, , , , 
run_39_repetition_1,TODO,mean,Polars,Small, , , , 
run_42_repetition_8,TODO,drop,Dask,Large, , , , 
run_22_repetition_4,TODO,groupby,Polars,Large, , , , 
run_45_repetition_19,TODO,drop,Pandas,Small, , , , 
run_29_repetition_15,TODO,sort,Pandas,Small, , , , 
run_60_repetition_8,TODO,fillna,Pandas,Large, , , , 
run_19_repetition_9,TODO,groupby,Dask,Small, , , , 
run_45_repetition_16,TODO,drop,Pandas,Small, , , , 
run_59_repetition_15,TODO,fillna,Dask,Small, , , , 
run_14_repetition_3,TODO,replace,Polars,Large, , , , 
run_46_repetition_19,TODO,drop,Polars,Large, , , , 
run_55_repetition_1,TODO,dropna,Polars,Small, , , , 
run_27_repetition_17,TODO,sort,Dask,Small, , , , 
run_38_repetition_9,TODO,mean,Polars,Large, , , , 
run_4_repetition_3,TODO,isna,Pandas,Large, , , , 
run_8_repetition_7,TODO,replace,Modin,Large, , , , 
run_61_repetition_17,TODO,fillna,Pandas,Small, , , , 
run_17_repetition_1,TODO,groupby,Modin,Small, , , , 
run_0_repetition_7,TODO,isna,Modin,Large, , , , 
run_46_repetition_18,TODO,drop,Polars,Large, , , , 
run_26_repetition_7,TODO,sort,Dask,Large, , , , 
run_41_repetition_18,TODO,drop,Modin,Small, , , , 
run_30_repetition_3,TODO,sort,Polars,Large, , , , 
run_4_repetition_13,TODO,isna,Pandas,Large, , , , 
run_65_repetition_17,TODO,concat,Modin,Small, , , , 
run_4_repetition_5,TODO,isna,Pandas,Large, , , , 
run_66_repetition_4,TODO,concat,Dask,Large, , , , 
run_60_repetition_1,TODO,fillna,Pandas,Large, , , , 
run_51_repetition_6,TODO,dropna,Dask,Small, , , , 
run_57_repetition_5,TODO,fillna,Modin,Small, , , , 
run_62_repetition_3,TODO,fillna,Polars,Large, , , , 
run_12_repetition_16,TODO,replace,Pandas,Large, , , , 
run_11_repetition_19,TODO,replace,Dask,Small, , , , 
run_16_repetition_1,TODO,groupby,Modin,Large, , , , 
run_10_repetition_10,TODO,replace,Dask,Large, , , , 
run_7_repetition_12,TODO,isna,Polars,Small, , , , 
run_24_repetition_15,TODO,sort,Modin,Large, , , , 
run_42_repetition_2,TODO,drop,Dask,Large, , , , 
run_45_repetition_13,TODO,drop,Pandas,Small, , , , 
run_67_repetition_1,TODO,concat,Dask,Small, , , , 
run_5_repetition_6,TODO,isna,Pandas,Small, , , , 
run_6_repetition_8,TODO,isna,Polars,Large, , , , 
run_71_repetition_10,TODO,concat,Polars,Small, , , , 
run_54_repetition_9,TODO,dropna,Polars,Large, , , , 
run_42_repetition_15,TODO,drop,Dask,Large, , , , 
run_53_repetition_3,TODO,dropna,Pandas,Small, , , , 
run_61_repetition_2,TODO,fillna,Pandas,Small, , , , 
run_53_repetition_15,TODO,dropna,Pandas,Small, , , , 
