Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729569924139,3228,3228,3228,3228,3228,3228,3228,3228,66.63209533691406,62.27678680419922,72.59323120117188,73.61396789550781,68.98509979248047,64.68563079833984,69.7886962890625,69.6971435546875,65.65624237060547,64.33868408203125,50,0,100,100,0,100,100,NaN,18.914358139038086,17179869184,22548578304,5545099264,21248278528
306,1729569924139,3228,3228,3228,3228,3228,3228,3228,3228,66.63209533691406,62.27678680419922,72.59323120117188,73.61396789550781,68.98509979248047,64.68563079833984,69.7886962890625,69.6971435546875,65.65624237060547,64.33868408203125,NaN,NaN,100,100,100,NaN,100,100,18.914358139038086,17179869184,22548578304,5545394176,21248278528
306,1729569924447,3228,3228,3228,3228,3228,3228,3228,3228,66.63209533691406,62.27678680419922,72.59323120117188,73.61396789550781,68.98509979248047,64.68563079833984,69.7886962890625,69.6971435546875,65.65624237060547,64.33868408203125,53.333335876464844,51.61289978027344,90.32257843017578,93.54838562011719,93.33333587646484,93.75,87.09677124023438,93.54838562011719,21.595314025878906,17179869184,22548578304,5619679232,21248278528
309,1729569924754,3228,3228,3228,3228,3228,3228,3228,3228,68.49623107910156,66.4492416381836,74.68294525146484,76.92839050292969,71.84271240234375,67.3668441772461,74.80471801757813,75.74839782714844,72.78253936767578,68.62186431884766,67.74193572998047,65.625,96.66666412353516,96.66666412353516,93.54838562011719,93.33333587646484,86.66666412353516,83.87096405029297,21.595314025878906,17179869184,22548578304,5636849664,21248278528
309,1729569925063,3228,3228,3228,3228,3228,3228,3228,3228,68.49623107910156,66.4492416381836,74.68294525146484,76.92839050292969,71.84271240234375,67.3668441772461,74.80471801757813,75.74839782714844,72.78253936767578,68.62186431884766,26.666667938232422,20,87.09677124023438,83.33332824707031,74.19355010986328,73.33333587646484,65.625,34.375,21.595314025878906,17179869184,22548578304,5649285120,21248278528
303,1729569925373,3228,3228,3228,3228,3228,3228,3228,3228,68.49623107910156,66.4492416381836,74.68294525146484,76.92839050292969,71.84271240234375,67.3668441772461,74.80471801757813,75.74839782714844,72.78253936767578,68.62186431884766,32.25806427001953,26.666667938232422,90.32257843017578,93.54838562011719,90.32257843017578,87.5,83.33332824707031,38.70967483520508,29.495756149291992,17179869184,22548578304,5640028160,21248278528
9,1729569925677,3228,3228,3228,3228,3228,3228,3228,3228,68.49623107910156,66.4492416381836,74.68294525146484,76.92839050292969,71.84271240234375,67.3668441772461,74.80471801757813,75.74839782714844,72.78253936767578,68.62186431884766,56.66666793823242,60.000003814697266,96.55171966552734,93.54838562011719,96.42857360839844,96.55171966552734,83.33332824707031,79.31034851074219,29.495756149291992,17179869184,22548578304,5606113280,21248278528
