Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729579714625,3228,3228,3228,3228,3228,3228,3228,3228,68.39701843261719,63.42670822143555,73.87290954589844,75.1229248046875,71.17371368408203,65.83726501464844,67.53300476074219,68.32768249511719,65.38102722167969,64.95201873779297,0,50,0,NaN,NaN,0,0,0,10.585984230041504,17179869184,22548578304,5516705792,21248278528
309,1729579714625,3228,3228,3228,3228,3228,3228,3228,3228,68.39701843261719,63.42670822143555,73.87290954589844,75.1229248046875,71.17371368408203,65.83726501464844,67.53300476074219,68.32768249511719,65.38102722167969,64.95201873779297,NaN,0,0,100,100,0,0,0,10.585984230041504,17179869184,22548578304,5520244736,21248278528
306,1729579714935,3228,3228,3228,3228,3228,3228,3228,3228,69.82930755615234,66.02671813964844,75.44474029541016,76.8298568725586,72.58379364013672,67.39015197753906,70.78541564941406,71.79359436035156,69.35401916503906,67.53478240966797,90.625,90.625,100,96.7741928100586,96.7741928100586,93.75,93.54838562011719,90.625,10.585984230041504,17179869184,22548578304,5520244736,21248278528
309,1729579715241,3228,3228,3228,3228,3228,3228,3228,3228,69.82930755615234,66.02671813964844,75.44474029541016,76.8298568725586,72.58379364013672,67.39015197753906,70.78541564941406,71.79359436035156,69.35401916503906,67.53478240966797,20,23.33333396911621,80.6451644897461,61.29032516479492,64.51612854003906,20,13.333333969116211,3.3333334922790527,10.585984230041504,17179869184,22548578304,5563760640,21248278528
309,1729579715552,3228,3228,3228,3228,3228,3228,3228,3228,69.82930755615234,66.02671813964844,75.44474029541016,76.8298568725586,72.58379364013672,67.39015197753906,70.78541564941406,71.79359436035156,69.35401916503906,67.53478240966797,45.16128921508789,38.70967483520508,96.7741928100586,93.54838562011719,90.32257843017578,90.625,84.375,77.41934967041016,24.3205623626709,17179869184,22548578304,5680775168,21248278528
312,1729579715861,3228,3228,3228,3228,3228,3228,3228,3228,69.82930755615234,66.02671813964844,75.44474029541016,76.8298568725586,72.58379364013672,67.39015197753906,70.78541564941406,71.79359436035156,69.35401916503906,67.53478240966797,48.3870964050293,41.379310607910156,96.66666412353516,96.7741928100586,96.66666412353516,100,96.7741928100586,96.7741928100586,24.3205623626709,17179869184,22548578304,5680775168,21248278528
309,1729579716174,3228,3228,3228,3228,3228,3228,3228,3228,70.8551025390625,68.50965881347656,76.28626251220703,78.01631927490234,73.97550964355469,68.86881256103516,73.76150512695313,74.98065185546875,72.94648742675781,69.94337463378906,64.51612854003906,59.375,100,96.66666412353516,93.75,93.54838562011719,90.32257843017578,90.32257843017578,24.3205623626709,17179869184,22548578304,5680775168,21248278528
309,1729579716484,3228,3228,3228,3228,3228,3228,3228,3228,70.8551025390625,68.50965881347656,76.28626251220703,78.01631927490234,73.97550964355469,68.86881256103516,73.76150512695313,74.98065185546875,72.94648742675781,69.94337463378906,100,96.7741928100586,96.7741928100586,100,96.7741928100586,100,100,100,22.501590728759766,17179869184,22548578304,6039535616,21248278528
304,1729579716794,3228,3228,3228,3228,3228,3228,3228,3228,70.8551025390625,68.50965881347656,76.28626251220703,78.01631927490234,73.97550964355469,68.86881256103516,73.76150512695313,74.98065185546875,72.94648742675781,69.94337463378906,100,100,100,100,100,100,100,100,22.501590728759766,17179869184,22548578304,6208438272,21248278528
307,1729579717099,3228,3228,3228,3228,3228,3228,3228,3228,73.4268798828125,72.80066680908203,80.05097198486328,82.70591735839844,77.7222900390625,71.84291076660156,80.56462097167969,81.99856567382813,78.92730712890625,74.00423431396484,100,100,100,100,100,100,100,100,22.501590728759766,17179869184,22548578304,6413025280,21248278528
309,1729579717407,3228,3228,3228,3228,3228,3228,3228,3228,73.4268798828125,72.80066680908203,80.05097198486328,82.70591735839844,77.7222900390625,71.84291076660156,80.56462097167969,81.99856567382813,78.92730712890625,74.00423431396484,53.125,54.83871078491211,90.32257843017578,96.66666412353516,96.7741928100586,83.87096405029297,83.87096405029297,58.06451416015625,33.17216110229492,17179869184,22548578304,6519422976,21248278528
309,1729579717717,3228,3228,3228,3228,3228,3228,3228,3228,73.4268798828125,72.80066680908203,80.05097198486328,82.70591735839844,77.7222900390625,71.84291076660156,80.56462097167969,81.99856567382813,78.92730712890625,74.00423431396484,100,100,100,100,100,100,100,100,33.17216110229492,17179869184,22548578304,8562933760,21248278528
308,1729579718027,3228,3228,3228,3228,3228,3228,3228,3228,74.28352355957031,73.82012939453125,80.51195526123047,83.68184661865234,78.62657928466797,72.8188247680664,81.12266540527344,82.81965637207031,79.17894744873047,74.72615814208984,96.66666412353516,93.54838562011719,100,100,100,100,100,100,33.17216110229492,17179869184,22548578304,8221229056,21248278528
302,1729579718335,3228,3228,3228,3228,3228,3228,3228,3228,74.28352355957031,73.82012939453125,80.51195526123047,83.68184661865234,78.62657928466797,72.8188247680664,81.12266540527344,82.81965637207031,79.17894744873047,74.72615814208984,100,100,100,100,100,100,100,100,33.17216110229492,17179869184,22548578304,8221229056,21248278528
304,1729579718637,3228,3228,3228,3228,3228,3228,3228,3228,74.28352355957031,73.82012939453125,80.51195526123047,83.68184661865234,78.62657928466797,72.8188247680664,81.12266540527344,82.81965637207031,79.17894744873047,74.72615814208984,50,51.72413635253906,96.66666412353516,93.33333587646484,86.66666412353516,65.51724243164063,56.66666793823242,56.66666793823242,34.24769592285156,17179869184,22548578304,8221229056,21248278528
306,1729579718942,3228,3228,3228,3228,3228,3228,3228,3228,73.28734588623047,71.18379974365234,78.8086929321289,81.27679443359375,77.0381088256836,71.34959411621094,75.8231201171875,77.41940307617188,75.33370208740234,72.62354278564453,13.333333969116211,23.33333396911621,96.66666412353516,90.32257843017578,93.33333587646484,16.129032135009766,13.333333969116211,6.45161247253418,34.24769592285156,17179869184,22548578304,9744367616,21248278528
302,1729579719248,3228,3228,3228,3228,3228,3228,3228,3228,73.28734588623047,71.18379974365234,78.8086929321289,81.27679443359375,77.0381088256836,71.34959411621094,75.8231201171875,77.41940307617188,75.33370208740234,72.62354278564453,60.000003814697266,60.000003814697266,66.66667175292969,63.33333206176758,50,61.29032516479492,45.16128921508789,23.33333396911621,34.24769592285156,17179869184,22548578304,10014572544,21248278528
313,1729579719551,3228,3228,3228,3228,3228,3228,3228,3228,73.28734588623047,71.18379974365234,78.8086929321289,81.27679443359375,77.0381088256836,71.34959411621094,75.8231201171875,77.41940307617188,75.33370208740234,72.62354278564453,36.66666793823242,36.66666793823242,76.66666412353516,70.96774291992188,61.29032516479492,76.66666412353516,34.482757568359375,3.4482758045196533,33.73678207397461,17179869184,22548578304,10293755904,21248278528
307,1729579719866,3228,3228,3228,3228,3228,3228,3228,3228,73.28734588623047,71.18379974365234,78.8086929321289,81.27679443359375,77.0381088256836,71.34959411621094,75.8231201171875,77.41940307617188,75.33370208740234,72.62354278564453,51.61289978027344,58.06451416015625,74.19355010986328,76.66666412353516,76.66666412353516,81.25,68.75,51.51515197753906,33.73678207397461,17179869184,22548578304,10373087232,21248278528
300,1729579720174,3228,3228,3228,3228,3228,3228,3228,3228,71.50714874267578,69.76184844970703,75.23535919189453,77.76862335205078,73.63996124267578,69.55984497070313,76.52464294433594,76.68093872070313,72.37510681152344,70.71398162841797,100,100,100,100,100,100,100,100,33.73678207397461,17179869184,22548578304,9951035392,21248278528
306,1729579720474,3228,3228,3228,3228,3228,3228,3228,3228,71.50714874267578,69.76184844970703,75.23535919189453,77.76862335205078,73.63996124267578,69.55984497070313,76.52464294433594,76.68093872070313,72.37510681152344,70.71398162841797,100,100,100,100,100,100,100,100,24.525362014770508,17179869184,22548578304,10132979712,21248278528
309,1729579720782,3228,3228,3228,3228,3228,3228,3228,3228,71.50714874267578,69.76184844970703,75.23535919189453,77.76862335205078,73.63996124267578,69.55984497070313,76.52464294433594,76.68093872070313,72.37510681152344,70.71398162841797,96.7741928100586,96.66666412353516,96.7741928100586,96.7741928100586,93.54838562011719,100,96.7741928100586,96.7741928100586,24.525362014770508,17179869184,22548578304,10724720640,21248278528
300,1729579721093,3228,3228,3228,3228,3228,3228,3228,3228,73.78507232666016,74.86373901367188,78.98674011230469,81.86626434326172,77.3862533569336,72.44155883789063,81.84806823730469,82.99940490722656,80.2208023071289,75.13105010986328,96.7741928100586,93.54838562011719,100,100,100,100,100,100,24.525362014770508,17179869184,22548578304,10598072320,21248278528
304,1729579721394,3228,3228,3228,3228,3228,3228,3228,3228,73.78507232666016,74.86373901367188,78.98674011230469,81.86626434326172,77.3862533569336,72.44155883789063,81.84806823730469,82.99940490722656,80.2208023071289,75.13105010986328,80,77.41934967041016,100,93.54838562011719,96.55171966552734,100,100,96.66666412353516,32.715431213378906,17179869184,22548578304,10632167424,21248278528
310,1729579721699,3228,3228,3228,3228,3228,3228,3228,3228,73.78507232666016,74.86373901367188,78.98674011230469,81.86626434326172,77.3862533569336,72.44155883789063,81.84806823730469,82.99940490722656,80.2208023071289,75.13105010986328,93.33333587646484,93.10344696044922,96.7741928100586,100,96.7741928100586,96.875,96.7741928100586,100,32.715431213378906,17179869184,22548578304,10975133696,21248278528
306,1729579722013,3228,3228,3228,3228,3228,3228,3228,3228,74.33672332763672,75.17098236083984,79.32113647460938,82.14957427978516,77.98422241210938,72.9439468383789,82.28619384765625,83.81715393066406,80.58258056640625,75.81217956542969,90.32257843017578,87.5,100,96.7741928100586,96.7741928100586,100,100,96.875,32.715431213378906,17179869184,22548578304,10963238912,21248278528
300,1729579722320,3228,3228,3228,3228,3228,3228,3228,3228,74.33672332763672,75.17098236083984,79.32113647460938,82.14957427978516,77.98422241210938,72.9439468383789,82.28619384765625,83.81715393066406,80.58258056640625,75.81217956542969,96.875,100,96.875,100,100,100,96.7741928100586,96.7741928100586,32.715431213378906,17179869184,22548578304,10616242176,21248278528
303,1729579722620,3228,3228,3228,3228,3228,3228,3228,3228,74.33672332763672,75.17098236083984,79.32113647460938,82.14957427978516,77.98422241210938,72.9439468383789,82.28619384765625,83.81715393066406,80.58258056640625,75.81217956542969,96.42857360839844,93.54838562011719,100,96.66666412353516,96.66666412353516,96.66666412353516,100,100,37.28996658325195,17179869184,22548578304,10870276096,21248278528
300,1729579722924,3228,3228,3228,3228,3228,3228,3228,3228,74.33672332763672,75.17098236083984,79.32113647460938,82.14957427978516,77.98422241210938,72.9439468383789,82.28619384765625,83.81715393066406,80.58258056640625,75.81217956542969,63.33333206176758,60.000003814697266,87.09677124023438,90.32257843017578,86.66666412353516,93.33333587646484,87.09677124023438,86.66666412353516,37.28996658325195,17179869184,22548578304,11322949632,21248278528
298,1729579723228,3228,3228,3228,3228,3228,3228,3228,3228,74.38219451904297,75.30720520019531,79.11637878417969,81.82654571533203,78.21106719970703,73.20655059814453,81.93890380859375,83.4652099609375,80.38894653320313,75.83280944824219,30.000001907348633,30.000001907348633,62.06896209716797,67.74193572998047,58.06451416015625,74.19355010986328,48.3870964050293,45.16128921508789,37.28996658325195,17179869184,22548578304,11257069568,21248278528
308,1729579723526,3228,3228,3228,3228,3228,3228,3228,3228,74.38219451904297,75.30720520019531,79.11637878417969,81.82654571533203,78.21106719970703,73.20655059814453,81.93890380859375,83.4652099609375,80.38894653320313,75.83280944824219,86.66666412353516,82.75862121582031,90,92.85713958740234,89.6551742553711,93.10344696044922,89.6551742553711,90,35.57421875,17179869184,22548578304,11257069568,21248278528
309,1729579723835,3228,3228,3228,3228,3228,3228,3228,3228,74.38219451904297,75.30720520019531,79.11637878417969,81.82654571533203,78.21106719970703,73.20655059814453,81.93890380859375,83.4652099609375,80.38894653320313,75.83280944824219,46.66666793823242,43.33333206176758,90,77.41934967041016,73.33333587646484,80.6451644897461,70,66.66667175292969,35.57421875,17179869184,22548578304,11546345472,21248278528
