Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729551672380,3228,3228,3228,3228,3228,3228,3228,3228,62.875064849853516,58.7728157043457,63.87897491455078,64.50885772705078,64.3832015991211,60.84410858154297,62.07138442993164,62.31684494018555,62.080039978027344,60.866455078125,50,0,50,100,100,100,0,0,4.631253719329834,17179869184,21474836480,7008141312,20758528000
311,1729551672380,3228,3228,3228,3228,3228,3228,3228,3228,62.875064849853516,58.7728157043457,63.87897491455078,64.50885772705078,64.3832015991211,60.84410858154297,62.07138442993164,62.31684494018555,62.080039978027344,60.866455078125,50,50,100,0,0,100,50,100,4.631253719329834,17179869184,21474836480,7008141312,20758528000
309,1729551672692,3228,3228,3228,3228,3228,3228,3228,3228,62.875064849853516,58.7728157043457,63.87897491455078,64.50885772705078,64.3832015991211,60.84410858154297,62.07138442993164,62.31684494018555,62.080039978027344,60.866455078125,83.33332824707031,83.33332824707031,100,100,93.75,90.625,87.5,93.33333587646484,4.631253719329834,17179869184,21474836480,7008141312,20758528000
8,1729551673001,3228,3228,3228,3228,3228,3228,3228,3228,62.875064849853516,58.7728157043457,63.87897491455078,64.50885772705078,64.3832015991211,60.84410858154297,62.07138442993164,62.31684494018555,62.080039978027344,60.866455078125,32.25806427001953,21.875,83.33332824707031,87.09677124023438,83.33332824707031,61.29032516479492,51.72413635253906,38.70967483520508,5.370165824890137,17179869184,21474836480,7030538240,20758528000
